label,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
fermo,0.414929,0.803489,-2.720818,0.99818,0.45127,0.700454,-2.693938,0.998327,0.475202,0.691589,-2.693975,0.998387,0.49567,0.681727,-2.693817,0.9985,0.373902,0.707311,-2.702301,0.998102,0.350516,0.702343,-2.702869,0.997664,0.331981,0.696113,-2.703053,0.997403,0.531676,0.657118,-2.184865,0.998898,0.309366,0.673013,-2.232724,0.998114,0.459072,0.854285,-2.495481,0.999234,0.384117,0.857181,-2.51265,0.998668,0.688448,0.868037,-1.563396,0.998336,0.173658,0.838275,-1.598975,0.998114,0.846052,1.287174,-1.131177,0.556987,-0.030701,1.166147,-1.332746,0.676278,0.854325,1.636485,-1.118181,0.104149,-0.022212,1.473144,-1.341944,0.123411,0.879164,1.756021,-1.152815,0.094687,-0.04639,1.570567,-1.382434,0.100141,0.844594,1.747269,-1.275526,0.129836,-0.008793,1.578253,-1.489278,0.13277,0.826668,1.707869,-1.170441,0.136795,0.009338,1.550001,-1.388476,0.141534,0.607813,1.603693,0.04274,0.007051,0.285575,1.617637,-0.032454,0.006853,0.603427,2.295241,-0.06553,0.021367,0.284126,2.296925,-0.168067,0.019518,0.575724,2.832516,0.788803,0.007891,0.277436,2.851547,0.514785,0.007776,0.575116,2.91303,0.876106,0.007083,0.271201,2.927482,0.576376,0.007917,0.523835,3.025044,0.453152,0.008133,0.303626,3.06047,0.087029,0.007224
fermo,0.423535,0.802014,-2.734335,0.998222,0.458816,0.700397,-2.711352,0.998346,0.481151,0.691544,-2.71155,0.998403,0.500226,0.681621,-2.711619,0.998504,0.382799,0.707301,-2.719464,0.998129,0.357698,0.702348,-2.720017,0.997702,0.337474,0.696134,-2.720165,0.997453,0.532225,0.655531,-2.20495,0.998902,0.313272,0.672309,-2.24556,0.998178,0.463991,0.853618,-2.5053,0.999227,0.386994,0.857923,-2.520549,0.9987,0.685313,0.856957,-1.56108,0.99831,0.174268,0.83847,-1.608289,0.99805,0.846571,1.137585,-1.131463,0.575161,-0.029872,1.167809,-1.317882,0.686253,0.860748,1.600375,-1.154916,0.125793,-0.032107,1.512483,-1.308943,0.141716,0.885229,1.715642,-1.199363,0.111938,-0.055667,1.619315,-1.3532,0.114473,0.857503,1.707308,-1.343471,0.148046,-0.027928,1.622894,-1.477446,0.148308,0.83756,1.672642,-1.215411,0.155813,-0.007814,1.5924,-1.36097,0.156951,0.606734,1.59477,0.041915,0.011694,0.286358,1.609163,-0.031808,0.01138,0.617859,2.256727,-0.147548,0.026674,0.309093,2.253931,-0.222936,0.027052,0.614097,2.827407,0.806716,0.009505,0.339553,2.845915,0.512826,0.010966,0.612821,2.905455,0.901108,0.008036,0.34266,2.922527,0.574764,0.010124,0.585722,3.026092,0.453213,0.010522,0.362951,3.060193,0.049634,0.011299
fermo,0.419032,0.808901,-2.799661,0.998214,0.455543,0.703337,-2.800042,0.998317,0.479246,0.69385,-2.800518,0.99837,0.499108,0.68333,-2.800964,0.998463,0.377767,0.711204,-2.786087,0.998106,0.354327,0.706282,-2.786641,0.997681,0.33543,0.700008,-2.786884,0.997449,0.531868,0.655486,-2.366174,0.998868,0.312515,0.672526,-2.302988,0.99819,0.462285,0.862237,-2.590853,0.999172,0.385428,0.865949,-2.576398,0.998683,0.689145,0.860455,-1.715603,0.998188,0.1779,0.829854,-1.6372,0.998005,0.844584,1.168073,-1.243515,0.588327,-0.035119,1.125275,-1.224009,0.68922,0.864837,1.602034,-1.150716,0.14631,-0.075768,1.486273,-1.096835,0.156301,0.890382,1.711393,-1.195966,0.128347,-0.104581,1.590738,-1.111818,0.125532,0.871852,1.700935,-1.330944,0.165394,-0.084666,1.597066,-1.245497,0.1599,0.848773,1.667987,-1.209305,0.173503,-0.059481,1.569663,-1.147888,0.168987,0.602561,1.586432,0.022339,0.014444,0.285438,1.584578,-0.013322,0.013957,0.617977,2.170933,-0.085658,0.029652,0.315294,2.111113,-0.088444,0.033314,0.613606,2.727645,1.015497,0.01058,0.352339,2.677849,0.748164,0.013097,0.611562,2.792602,1.125313,0.00856,0.358044,2.748078,0.825184,0.011346,0.582802,2.960491,0.704504,0.012257,0.367544,2.90426,0.343083,0.014469
fermo,0.421077,0.802641,-2.868661,0.99824,0.457495,0.696702,-2.858214,0.998336,0.482449,0.687507,-2.858602,0.998383,0.502053,0.677511,-2.858902,0.998478,0.378082,0.705953,-2.853328,0.998124,0.35472,0.702061,-2.853909,0.997695,0.33591,0.696364,-2.854084,0.997474,0.532915,0.649657,-2.376719,0.998882,0.312492,0.668884,-2.356928,0.998229,0.463618,0.859019,-2.644567,0.999163,0.386249,0.865612,-2.64194,0.99869,0.690294,0.860423,-1.697327,0.998185,0.179291,0.829629,-1.66436,0.997915,0.845488,1.140926,-1.216104,0.602796,-0.043467,1.113279,-1.23444,0.697003,0.866815,1.602604,-1.094525,0.16547,-0.085247,1.465876,-1.088364,0.166923,0.891565,1.713751,-1.117099,0.143242,-0.112847,1.570169,-1.102116,0.133577,0.872693,1.703129,-1.265955,0.180959,-0.090766,1.574983,-1.233273,0.168759,0.849988,1.669521,-1.151926,0.19047,-0.068035,1.547457,-1.13819,0.178128,0.602184,1.584098,0.018499,0.018507,0.28449,1.582282,-0.009431,0.017601,0.617304,2.195476,-0.099451,0.034962,0.314115,2.136633,-0.104164,0.039225,0.611184,2.731538,0.937905,0.012468,0.344062,2.718648,0.693683,0.015488,0.60983,2.797654,1.036958,0.009653,0.344427,2.784796,0.763839,0.012894,0.575866,2.976826,0.654243,0.014617,0.357009,2.974811,0.253034,0.017498
fermo,0.421004,0.805666,-2.896929,0.998243,0.457938,0.699004,-2.890238,0.998328,0.483117,0.689369,-2.890666,0.998375,0.503232,0.678821,-2.890968,0.99847,0.37812,0.709046,-2.881567,0.998111,0.354756,0.705275,-2.882144,0.997675,0.33604,0.699546,-2.882329,0.99746,0.535049,0.649556,-2.415876,0.998879,0.312743,0.669645,-2.37809,0.99823,0.463728,0.861217,-2.674079,0.999137,0.386323,0.869081,-2.666734,0.998674,0.690863,0.86017,-1.725651,0.998153,0.18004,0.824359,-1.679941,0.997808,0.843422,1.160138,-1.224636,0.615257,-0.041462,1.111001,-1.230859,0.699649,0.866639,1.603043,-1.096755,0.182364,-0.078748,1.464854,-1.091988,0.178587,0.891385,1.713964,-1.120904,0.157508,-0.106606,1.569161,-1.109932,0.14315,0.871923,1.703529,-1.277305,0.195853,-0.079468,1.574424,-1.242314,0.178613,0.849331,1.669568,-1.156661,0.206077,-0.057877,1.546789,-1.142464,0.188446,0.600119,1.583028,0.015338,0.023345,0.283386,1.57856,-0.006412,0.021819,0.618691,2.197659,-0.121653,0.041048,0.317453,2.162441,-0.10831,0.047898,0.61264,2.74867,0.918679,0.014964,0.34793,2.745999,0.694434,0.01939,0.610259,2.819759,1.018764,0.011016,0.352668,2.81617,0.764782,0.015307,0.579279,2.98825,0.593787,0.01771,0.358364,2.986777,0.241682,0.022234
fermo,0.42095,0.799572,-2.868362,0.998238,0.457944,0.693826,-2.85737,0.998318,0.483659,0.684274,-2.857752,0.99836,0.504013,0.673811,-2.858022,0.998454,0.377955,0.704561,-2.852519,0.998099,0.354717,0.701613,-2.853101,0.997656,0.336024,0.696519,-2.85328,0.99745,0.535767,0.645169,-2.374463,0.998873,0.311828,0.66776,-2.355014,0.998252,0.464728,0.856452,-2.643794,0.999118,0.386401,0.867293,-2.641528,0.99867,0.692541,0.860201,-1.695357,0.998107,0.181405,0.824497,-1.671549,0.997713,0.847312,1.165327,-1.212059,0.625884,-0.044039,1.112601,-1.243096,0.708333,0.868953,1.604013,-1.099704,0.196643,-0.081354,1.458537,-1.140422,0.192563,0.892407,1.715047,-1.125342,0.16852,-0.108277,1.561046,-1.165857,0.154162,0.873535,1.705221,-1.277415,0.207317,-0.083565,1.563287,-1.292555,0.190265,0.851426,1.670864,-1.158594,0.218369,-0.061653,1.536593,-1.19023,0.200558,0.600469,1.583103,0.013712,0.026873,0.283402,1.580072,-0.004745,0.025249,0.618452,2.199926,-0.122092,0.045039,0.316402,2.170464,-0.114867,0.052754,0.61164,2.780096,0.907779,0.016142,0.343596,2.789824,0.677987,0.021265,0.609421,2.852778,1.007134,0.011807,0.345376,2.862208,0.747163,0.016569,0.576851,3.019109,0.568537,0.019408,0.349784,3.035863,0.224805,0.0248
fermo,0.417257,0.80618,-2.852608,0.998143,0.456679,0.7007,-2.839036,0.998217,0.483014,0.691266,-2.839218,0.998266,0.503887,0.680733,-2.839247,0.998356,0.376837,0.709245,-2.847492,0.997984,0.354197,0.705185,-2.848095,0.997526,0.335871,0.699205,-2.84848,0.99732,0.536041,0.648729,-2.376862,0.998805,0.312045,0.667789,-2.346293,0.998171,0.462213,0.863836,-2.629377,0.999011,0.384351,0.869265,-2.622707,0.998565,0.695266,0.865265,-1.730151,0.997961,0.182327,0.820208,-1.669211,0.997592,0.843734,1.223901,-1.245777,0.62994,-0.035263,1.102637,-1.175695,0.70251,0.862076,1.604658,-1.095571,0.205516,-0.077471,1.457939,-0.987508,0.197071,0.882879,1.71202,-1.115684,0.176166,-0.103746,1.560512,-0.994585,0.157944,0.868885,1.699784,-1.263445,0.215169,-0.078939,1.563746,-1.124886,0.193846,0.846576,1.666828,-1.150914,0.226551,-0.05659,1.536949,-1.036343,0.204768,0.597973,1.583784,0.006658,0.028982,0.282323,1.579289,0.00201,0.027233,0.618313,2.18756,-0.0377,0.047555,0.316965,2.137888,-0.009913,0.058285,0.611736,2.751977,1.038575,0.01704,0.349649,2.721679,0.816227,0.023114,0.609804,2.81551,1.148008,0.012139,0.355332,2.790879,0.894409,0.017675,0.574894,3.003756,0.729918,0.020825,0.355204,2.96613,0.423015,0.027464
fermo,0.420306,0.80274,-2.850137,0.998153,0.460764,0.699112,-2.831974,0.998217,0.486983,0.690216,-2.832166,0.998265,0.506877,0.680172,-2.832223,0.998349,0.380056,0.705829,-2.837185,0.997986,0.357289,0.701173,-2.837792,0.997532,0.33879,0.694437,-2.838023,0.997325,0.536381,0.648162,-2.376119,0.998791,0.31323,0.661919,-2.337203,0.998191,0.462846,0.862137,-2.620488,0.999007,0.384917,0.866646,-2.621295,0.998574,0.695163,0.857686,-1.644988,0.998035,0.181998,0.821655,-1.668124,0.997651,0.846191,1.224261,-1.120492,0.635092,-0.049132,1.100884,-1.188977,0.708752,0.870786,1.605154,-1.044376,0.207365,-0.084898,1.452362,-1.034283,0.192531,0.895563,1.715945,-1.066041,0.176546,-0.110643,1.557264,-1.047398,0.153894,0.87582,1.706545,-1.21933,0.215842,-0.083706,1.561806,-1.184691,0.189785,0.853456,1.671367,-1.103716,0.227698,-0.064026,1.532855,-1.086416,0.19983,0.598246,1.586829,0.016323,0.03027,0.281664,1.584175,-0.007016,0.028437,0.616818,2.232674,-0.141532,0.048112,0.31154,2.221953,-0.175368,0.057944,0.610957,2.839235,0.763519,0.017391,0.33266,2.837975,0.517037,0.023004,0.608767,2.921817,0.850165,0.01253,0.332801,2.913391,0.57512,0.01788,0.573349,3.057919,0.356957,0.021499,0.353069,3.076508,0.029692,0.027696
fermo,0.420521,0.804629,-2.905059,0.998153,0.461093,0.700432,-2.892356,0.998207,0.487034,0.691213,-2.892677,0.998253,0.507013,0.680828,-2.892923,0.998334,0.38038,0.70765,-2.89136,0.997975,0.357401,0.702979,-2.891925,0.997518,0.338888,0.696264,-2.892099,0.997318,0.536642,0.648107,-2.402723,0.998777,0.314075,0.662531,-2.384797,0.9982,0.463093,0.863131,-2.672226,0.998982,0.385088,0.86816,-2.672577,0.998567,0.693853,0.857054,-1.675853,0.997993,0.181985,0.821806,-1.69341,0.997606,0.846688,1.233633,-1.153614,0.642723,-0.048572,1.103237,-1.19024,0.715994,0.877639,1.613274,-1.117122,0.218815,-0.085051,1.45425,-1.076523,0.20624,0.904113,1.726767,-1.15124,0.186333,-0.111833,1.559544,-1.095096,0.164723,0.885179,1.715511,-1.316974,0.226215,-0.088295,1.563968,-1.209041,0.201364,0.861853,1.680015,-1.182318,0.238341,-0.066873,1.535405,-1.124988,0.211631,0.598297,1.588692,0.017337,0.03327,0.281709,1.586574,-0.008099,0.031425,0.620464,2.233286,-0.133778,0.050498,0.314641,2.232573,-0.170675,0.062759,0.615522,2.842993,0.860189,0.01838,0.337159,2.858432,0.574079,0.025071,0.612431,2.923068,0.956648,0.013192,0.338551,2.935502,0.635137,0.019231,0.584531,3.066526,0.451024,0.023025,0.35618,3.095656,0.048013,0.03043
fermo,0.41556,0.808708,-2.940073,0.998217,0.455513,0.702959,-2.938558,0.998256,0.483219,0.694881,-2.939001,0.998297,0.504263,0.685368,-2.939405,0.99837,0.376479,0.70862,-2.930001,0.998041,0.354792,0.703792,-2.930614,0.997601,0.337104,0.697184,-2.930798,0.997413,0.536308,0.653854,-2.473575,0.998811,0.31299,0.664196,-2.431791,0.998279,0.459981,0.866382,-2.715816,0.998995,0.383596,0.870256,-2.707819,0.998613,0.696526,0.86239,-1.757569,0.997975,0.182482,0.821864,-1.738463,0.997666,0.849849,1.24012,-1.225026,0.651901,-0.056253,1.099027,-1.256822,0.725092,0.880415,1.630521,-1.117468,0.230306,-0.124556,1.450391,-1.129228,0.22035,0.9061,1.74867,-1.150325,0.194826,-0.160754,1.553123,-1.151261,0.175609,0.888215,1.735199,-1.311164,0.235195,-0.139783,1.558743,-1.28764,0.212936,0.865499,1.698313,-1.181799,0.247331,-0.113474,1.531959,-1.183485,0.223401,0.59829,1.589763,0.017456,0.035513,0.281445,1.586682,-0.008317,0.034632,0.621058,2.233746,-0.030516,0.052473,0.314575,2.235973,-0.12757,0.069956,0.614594,2.841623,1.086506,0.019029,0.335568,2.863119,0.663341,0.028081,0.6114,2.917645,1.197348,0.01373,0.336939,2.940449,0.732731,0.020863,0.583887,3.062511,0.749195,0.024249,0.355836,3.101671,0.175594,0.03441
